cream cheese|51|5|2.9|0.9|0.8|0.5|0|14.6|0.016|7.6|0.2|0.092|0.004|0|0|0.1|0.008|0.082|0.027|15.5|0.039|7.07
neufchatel cheese|215|19.4|10.9|7.8|3.1|2.7|0|62.9|0.3|53.6|0.2|0.090|0|0|0.3|0.045|99.5|0.1|8.5|129.2|0.7|130.1
requeijao cremoso light catupiry|49|3.6|2.3|0.8|0.9|3.4|0.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.4
ricotta cheese|30|2|1.3|1.5|1.5|0.091|0|9.8|0.017|14.7|0.075|0.091|0.006|0|0.001|0.011|0.097|0.097|0.096|30.8|0.035|5.196
cream cheese low fat|30|2.3|1.4|1.2|1.2|0.9|0|8.1|0.046|10|0.016|0.049|0|0.036|0.009|0.019|22.2|0.008|1.2|37.1|0.053|27.007
cream cheese fat free|19|0.2|0.1|2.8|1.4|1|0|2.2|0.1|12.9|0.063|0.092|0|0|0.049|0.059|63.2|0.053|4|50|0.3|67.679
gruyere cheese|116|9.1|5.3|8.3|0.1|0.1|0|30.8|0.2|9.3|0.061|0.078|0|0.034|0.035|0.048|283.1|0.094|10.1|22.7|1.1|300.694
cheddar cheese|113|9.3|5.3|6.4|0.9|0.1|0|27.7|0.2|10.3|0.054|0.073|0|0.060|0.2|0.035|198.8|0.077|7.6|21.3|1|215.53
parmesan cheese|71|4.5|2.7|6.4|0.6|0.046|0|12.2|0.2|5.4|0.067|0.059|0|0.095|0.018|0.021|213.1|0.1|7.9|16.6|0.5|224.777
romano cheese|19|1.3|0.9|1.6|0.2|0.088|0|5.2|0.008|1.5|0.064|0.045|0|0.073|0.078|0.004|53.2|0.030|2.1|4.3|0.1|56.38
parmesan cheese grated|21|1.4|0.8|1.4|0.7|0.075|0|4.3|0.043|1.1|0.017|0.091|0.007|0|0.002|0.014|0.012|0.094|0.094|31.4|0.038|3.745
port salut cheese|465|37.2|22|31.4|0.8|0.8|0|162.4|0.7|60|0.4|0.067|0|0.057|0.3|0.094|858|0.6|31.7|179.5|3.4|928.4
swiss cheese|98|7.7|4.6|6.7|0.4|0|0|23.3|0.057|9.4|0.069|0.008|0|0.016|0.2|0.056|222.5|0.024|8.3|18|1.1|237.396
goat cheese hard|128|10.1|7|8.6|0.6|0.6|0|29.7|0.076|8.2|0.1|0.093|0|0.044|0.083|0.039|253.3|0.5|15.3|13.6|0.4|273.2
gouda cheese|100|7.7|4.9|7|0.6|0.6|0|31.9|0.2|11.6|0.053|0.010|0|0.040|0.026|0.074|196|0.060|8.1|33.9|1.1|211.424
pepper jack cheese lucerne|75|6|4|5|0|0|2.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|13.5
caraway cheese|106|8.3|5.3|7.1|0.9|0|0|26.3|0.2|11.1|0.014|0.038|0|0|0|0|190.5|0.2|6.2|26.3|0.8|207.072
gjetost cheese|1058|67|43.5|21.9|96.8|0|0|213.4|1.4|30.5|0.8|0.047|0|0|0|0|908|1.2|158.9|3198.40|2.6|1095.7
tilsit cheese|136|10.4|6.7|9.8|0.8|0|0|40.8|0.3|17.1|0.057|0.058|0|0|0|0|280|0.010|5.2|26|1.4|301.069
goat cheese|103|8.4|5.8|6.1|0.009|0.031|0|22.4|0.1|12.9|0.1|0.086|0|0.078|0.082|0.046|84.3|0.5|8.2|44.7|0.2|99.494
brick cheese|111|8.9|5.6|7|0.8|0.2|0|28.2|0.2|12.3|0.016|0.074|0|0.042|0.072|0.064|202.2|0.1|7.2|40.8|0.8|219.002
asadero cheese|402|31.9|20.3|25.5|3.2|3.2|0|118.7|0.7|47.6|0.098|0.043|0|0.071|0.3|0.020|746.9|0.6|29.4|97.2|3.4|808.175
camembert cheese|90|7.3|4.6|5.9|0.1|0.1|0|21.6|0.3|15.5|0.091|0.034|0|0.093|0.014|0.024|116.4|0.063|6|56.1|0.7|129.826
provolone cheese reduced fat|310|19.9|12.8|27.9|4|0.6|0|62.2|1|57.2|0.2|0.079|0|0.027|0.2|0.076|854.3|0.6|31.6|155.9|3.6|906.9
roquefort cheese|314|26|16.4|18.3|1.7|0|0|76.5|1.5|33.5|0.2|0.002|0|0|0|0|562.7|0.5|25.5|77.4|1.8|609.4
queso blanco cheese|366|28.7|16.1|24|3|2.1|0|82.6|0.8|57.5|0.2|0.022|0|0.050|0.6|0.061|814.2|0.2|34.2|148.7|3.6|870.3
queso seco cheese|315|23.6|13.3|23.8|2|0.5|0|75.7|1.8|40.9|0.2|0.010|0|0.032|0.5|0.045|641.2|0.2|26.2|112.5|3.2|691.0
goat cheese soft|75|6|4.1|5.2|0|0.3|0|13.0|0.1|17.2|0.049|0.012|0|0.092|0.010|0.093|39.6|0.5|4.5|7.4|0.3|51.311
mozzarella cheese|90|6.6|4.2|6.7|0.7|0|0|23.7|0.1|15|0.037|0.081|0|0.044|0.001|0.008|151.5|0.1|6|22.8|0.9|165.648
chihuahua cheese|494|39.2|24.9|28.5|7.3|7.3|0|138.6|0.8|51.7|0.007|0.082|0|0.089|0.3|0.011|859.3|0.6|30.4|68.6|4.6|934.983
limburger cheese|98|8.2|5|6|0.1|0.1|0|27.0|0.2|14.5|0.1|0.082|0|0.004|0.055|0.046|149.1|0.011|6.3|38.4|0.6|163.575
muenster cheese|486|39.7|25.2|30.9|1.5|1.5|0|126.7|0.8|55.1|0.4|0.085|0|0.065|0.3|0.056|946.4|0.5|35.6|176.9|3.7|1019.4
queso fresco cheese|365|29.1|15.8|22.1|3.6|2.8|0|84.2|0.9|62.7|0.3|0.076|0|0.055|0.5|0.087|690.5|0.2|29.3|157.4|3.1|745.8
brie cheese|100|8.3|5.2|6.2|0.1|0.1|0|30.0|0.2|14.5|0.014|0.073|0|0.068|0.078|0.056|55.2|0.2|6|45.6|0.7|70.096
pimento cheese|525|43.7|27.5|31|2.4|0.9|0.1|131.6|2|54.7|0.3|0.016|3.2|0.099|0.4|0.086|859.6|0.6|30.8|226.8|4.2|940.9
mexican cheese|316|21.7|13|27.7|3.8|0.6|0|69.4|0.9|54|0.2|0.050|0|0.087|0.2|0.073|1283.50|0.1|39.2|104.2|4.8|1337.0
feta cheese|80|6.4|4|4.3|1.2|0|0|26.7|0.3|16.6|0.014|0.076|0|0.060|0.036|0.057|147.9|0.2|5.7|18.6|0.9|160.058
mozzarella cheese fat free|159|0|0|35.8|4|1.7|2|20.3|0.8|68|0.1|0.025|0|0|0.2|0.018|1085.90|0.4|37.3|119.8|4.4|1128.2
provolone cheese|463|35.1|22.5|33.8|2.8|0.7|0|91.1|1.2|54.1|0.3|0.005|0|0.028|0.3|0.001|997.9|0.7|37|182.2|4.3|1070.6
anejo cheese|492|39.6|25.1|28.3|6.1|6.1|0|138.6|1.5|50.2|0.098|0.077|0|0.032|0.3|0.078|897.6|0.6|37|114.8|3.9|972.205
honey|64|0|0|0.080|17.3|17.2|0.025|0.0|0.011|3.6|0|0|0.1|0|0|0|1.3|0.017|0.4|10.9|0.008|18.892
apple butter|35|0.063|0.038|0.045|8.5|7.1|0.3|0.0|0.003|11.3|0|0|0.1|0|0.060|0.075|2.8|0.025|0.8|18.2|0.095|11.836
fruit jam|56|0.095|0.021|0.000|13.8|9.7|0.2|0.0|0.052|6.1|0|0|1.8|0|0.062|0|4|0.070|0.8|15.4|0.030|19.919
chocolate hazelnut spread|100|5.5|5.3|1|11.5|10|1|0.0|0.099|0.2|0|0.042|0|0|0.9|0.071|20|0.8|11.8|75.3|0.2|39.8
peanut butter|88|7.4|1.4|3.3|3.6|1|0.9|0.0|0.085|0.2|0|0.063|0.078|0|0|0.9|0|0.079|0.3|50.3|0.044|15.268
peanut spread|101|8.5|1.6|3.8|2.2|0.5|1.2|0.0|0.028|0.3|0|0|0|0|1.2|0.046|11.2|0.4|25.4|126.8|0.5|27.3
chicken spread|88|9.8|1.8|10.1|2.3|0.3|0.2|31.4|0.4|32.1|0.076|0.064|0|0|0|0|9|0.5|6.7|59.4|0.6|31.972
cheese spread|708|68.6|43.2|17|8.4|8.4|0|216.0|1.2|140.4|0.7|0.011|0|0.091|1.8|0.098|170.4|2.7|14.4|268.8|1.2|267.8
tahini|86|7.2|1|2.7|3.9|0|1.4|0.0|0.098|0.5|0|0|0|0|0|0|63|0.4|14.4|62.1|0.7|78.6
orange marmalade|49|0|0|0.014|13.3|12|0.1|0.0|0.016|6.6|0|0|1|0|0.089|0|7.6|0.053|0.4|7.4|0.046|22.119
american cheese spread|46|3.4|2.1|2.6|1.4|1.2|0|8.8|0.3|7.6|0.043|0.022|0|0.014|0.022|0.046|89.9|0.079|4.6|38.7|0.4|97.357
apricot jam|48|0.010|0.042|0.1|12.9|8.7|0.044|0.0|0.004|6.9|0|0|1.8|0|0.048|0|4|0.066|0.8|15.4|0.062|18.91
chunky peanut butter|94|8|1.2|3.8|3.5|1.3|1.3|0.0|0.030|0.2|0|0|0|0|1|0.016|7.2|0.3|25.6|119.2|0.4|24.1
ham and cheese spread|37|2.8|1.3|2.4|0.3|0|0|9.2|0.2|8.9|0.030|0.035|0|0|0|0|32.6|0.1|2.7|24.3|0.3|38.238
chicken and rice casserole homade|27|1|0|2|2.4|0|0.3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.7
picnic loaf|65|4.7|1.7|4.2|1.3|0|0|10.6|0.3|16.9|0|0.004|0|0.025|0|0|13.2|0.3|4.2|74.8|0.6|23.7
corn tamale|309|12|4.4|5.8|44.3|12.3|5.3|0.0|0.5|101.8|0|0|0|0|0.7|0.052|39.8|0.9|48.1|308.8|1|108.1
baked potato with cheese sauce bacon|451|25.9|10.1|18.4|44.4|0|0|29.9|1|194.4|0.2|0.007|28.7|0|0|0|308|3.1|68.8|1178.10|2.2|428.7
chinese egg roll|223|10.6|1.9|7.4|24.3|0|2.3|14.2|0.4|45|0|0.079|0|0|0|0.066|35.6|1.3|16|146.9|0.6|81.5
butter croissant|231|12|6.6|4.7|26.1|6.4|1.5|38.2|0.2|13.2|0.1|0.092|0.1|0|0.5|0.022|21.1|1.2|9.1|67.3|0.4|66.8
